ticker,date,open,high,low,close,vol
A,20140101,57.19,57.19,57.19,57.19,0
A,20140102,57.1,57.1,56.15,56.21,1916100
A,20140103,56.39,57.35,56.26,56.92,1866600
A,20140106,57.4,57.7,56.56,56.64,1777400
A,20140107,56.95,57.63,56.93,57.45,1463200
A,20140108,57.33,58.54,57.17,58.39,2659400
A,20140109,58.4,58.68,57.87,58.41,1757600
A,20140110,58.51,59.01,58.14,58.93,1623300
A,20140113,58.77,59.1,58.6,58.93,2946700
A,20140114,59.16,59.95,59.02,59.88,2562200
A,20140115,59.82,60.37,59.59,60.34,2335100
A,20140116,60.24,60.5,60.04,60.5,1835900
A,20140117,60.83,60.83,60.33,60.71,1699500
A,20140120,60.71,60.71,60.71,60.71,0
A,20140121,60.69,60.88,59.86,60.85,3008400
A,20140122,60.82,61.22,60.71,60.93,2769300
A,20140123,60.48,60.51,59.4,59.47,3063500
A,20140124,59.46,59.46,57.71,57.87,2656300
A,20140127,57.9,58.37,56.98,58.3,4669000
A,20140128,58.5,58.88,57.91,58.1,2536200
A,20140129,57.67,58.22,57.41,57.65,2163000
A,20140130,58.42,60.11,58.42,59.51,3743100
A,20140131,58.61,59.15,58.05,58.15,3529000
A,20140203,58.15,58.48,56.08,56.15,2929200
A,20140204,56.32,57.88,56.09,57.81,2911800
A,20140205,57.58,57.7,56.96,57.43,2283800
A,20140206,57.51,58.35,57.46,58.29,1609400
A,20140207,58.46,59.47,58.13,59.42,1975200
A,20140210,59.27,59.44,58.29,59.01,1760400
A,20140211,59,60,58.88,59.73,2148200
A,20140212,60,60.46,59.67,59.89,2347200
A,20140213,59.45,60.38,59.37,60.08,3097000
A,20140214,57.15,57.77,54.87,55.25,17862700
A,20140217,55.25,55.25,55.25,55.25,0
A,20140218,55.38,56.04,54.96,55.15,6553800
A,20140219,55.01,56.65,54.9,55.94,4838700
A,20140220,56.14,57.54,56.05,57.29,4629700
A,20140221,57.25,57.4,56.32,56.34,2407100
A,20140224,56.45,56.98,56.4,56.75,2392700
A,20140225,56.8,57.57,56.75,56.89,3375100
A,20140226,56.98,57.62,56.75,57.1,2400900
A,20140227,57.02,57.28,56.19,56.36,3123700
A,20140228,56.45,57.11,56.4,56.93,2876200
A,20140303,56.12,57.12,55.79,56.71,2488300
A,20140304,57.31,58,56.98,57.78,2841900
A,20140305,57.71,58,57.56,57.8,3113500
A,20140306,58.39,59.32,58.14,58.77,5178800
A,20140307,59.06,59.2,57.52,58.42,3247100
A,20140310,58.29,58.34,57.6,58.15,2563400
A,20140311,58.23,58.3,56.5,56.86,3421700
A,20140312,56.52,57.08,56.01,57.06,1652300
A,20140313,57.16,57.4,55.77,55.85,2318800
A,20140314,55.61,55.98,55.23,55.44,1745200
A,20140317,55.68,56.41,55.48,55.8,1437400
A,20140318,55.97,56.81,55.84,56.79,1294600
A,20140319,56.72,57.15,56.18,56.63,1804300
A,20140320,56.54,56.93,56.16,56.7,1808400
A,20140321,57.18,57.78,55.96,56.09,2762900
A,20140324,56.08,56.23,54.66,55.26,1985700
A,20140325,55.5,56.21,54.98,55.16,1727200
A,20140326,55.4,55.99,55.16,55.17,2560700
A,20140327,55.6,55.6,54.22,54.69,2972600
A,20140328,54.85,55.25,54.42,54.69,2006900
A,20140331,54.97,56.05,54.57,55.92,2190700
A,20140401,56.2,56.62,55.84,56.36,2090700
A,20140402,56.42,56.7,56.2,56.67,1919400
A,20140403,56.77,57.14,56.27,56.6,1603000
A,20140404,57.1,57.24,55.55,55.57,2307600
A,20140407,55.56,55.66,53.94,54.35,2584500
A,20140408,54.21,55,53.82,54.66,1842400
A,20140409,55.44,55.61,54.38,55.57,2017500
A,20140410,55.57,55.64,53.9,54.05,1966400
A,20140411,53.69,54.05,52.65,52.77,2591900
A,20140414,53.19,53.25,52.31,52.65,2840500
A,20140415,52.84,53.36,51.96,53.11,2172500
A,20140416,53.55,53.77,53.25,53.68,1243500
A,20140417,53.74,54.89,53.61,54.65,2061900
A,20140418,54.65,54.65,54.65,54.65,0
A,20140421,54.61,54.8,54.33,54.69,1185800
A,20140422,54.7,55.6,54.53,54.97,1475500
A,20140423,54.85,55.2,54.57,55.01,894200
A,20140424,55.23,55.52,54.56,55.28,1806400
A,20140425,55.25,55.25,54.07,54.39,1580400
A,20140428,54.81,54.93,52.86,53.73,3009000
